year,position,velocity,acceleration,saddle_score_phase1
1974,-0.6040793234867303,,,0
1975,1.6345322979436885,2.238611621430419,,0
1976,-0.6886323998320005,-2.323164697775689,-4.561776319206108,0
1977,1.2087508182950346,1.8973832181270351,4.220547915902724,0
1978,-0.74543612670172,-1.9541869449967546,-3.8515701631237897,0
1979,1.0046614345411298,1.7500975612428498,3.7042845062396044,0
1980,-0.7877770447424357,-1.7924384792835655,-3.5425360405264152,0
1981,0.4362745103017307,1.2240515550441664,3.016490034327732,0
1982,0.30324571140412004,-0.13302879889761066,-1.357080353941777,1
1983,-0.8370706659018046,-1.1403163773059246,-1.007287578408314,0
1984,1.1000411088645565,1.937111774766361,3.0774281520722857,0
1985,0.685974331887623,-0.4140667769769335,-2.3511785517432946,0
1986,-1.3005687451112307,-1.9865430769988537,-1.5724763000219202,0
1987,-1.2638186215808505,0.03675012353038021,2.023293200529234,1
1988,-1.8716798653370574,-0.607861243756207,-0.6446113672865872,0
1989,-2.0518277669006455,-0.18014790156358806,0.4277133421926189,2
1990,-5.0,-2.9481722330993545,-2.7680243315357664,0
1991,1.2440975257152473,6.244097525715247,9.192269758814602,0
1992,2.899896381920989,1.6557988562057417,-4.588298669509506,1
1993,1.8036858702418401,-1.096210511679149,-2.7520093678848907,0
1994,-0.9812243879852733,-2.7849102582271135,-1.6886997465479645,0
1995,-2.9159569926443614,-1.934732604659088,0.8501776535680254,1
1996,-1.4455735571261368,1.4703834355182246,3.4051160401773126,0
1997,-1.8418943675630288,-0.39632081043689205,-1.8667042459551166,0
1998,-3.702046586130797,-1.8601522185677681,-1.463831408130876,0
1999,-4.856911791628504,-1.1548652054977073,0.7052870130700608,1
2000,-5.0,-0.14308820837149572,1.0117769971262116,2
2001,-4.40980080066608,0.5901991993339202,0.7332874077054159,0
2002,-3.294716743353157,1.1150840573129228,0.5248848579790026,0
2003,-3.352665873161477,-0.0579491298083199,-1.1730331871212427,1
2004,-3.1402788031096938,0.21238707005178314,0.27033619986010304,0
2005,-3.555274345488564,-0.41499554237887004,-0.6273826124306532,0
2006,-4.01576776616996,-0.460493420681396,-0.04549787830252594,0
2007,-4.243010012714558,-0.22724224654459846,0.23325117413679752,1
2008,-3.7047114278602846,0.5382985848542736,0.7655408313988721,0
2009,-1.024279803414629,2.6804316244456556,2.142133039591382,0
2010,-1.6707799159514303,-0.6465001125368013,-3.326931736982457,0
2011,-2.127118812236054,-0.45633889628462354,0.19016121625217774,1
2012,-2.3274407699052397,-0.20032195766918592,0.2560169386154376,1
2013,-2.81391507510118,-0.48647430519594037,-0.28615234752675445,0
2014,-2.8342317899781873,-0.020316714877007147,0.4661575903189332,2
2015,-2.561141275512422,0.2730905144657654,0.2934072293427725,0
2016,-2.629097874902203,-0.06795659938978105,-0.3410471138555464,1
2017,-3.0809361000487487,-0.4518382251465458,-0.38388162575676477,0
2018,-3.553968659968009,-0.4730325599192602,-0.021194334772714374,0
2019,-3.491654275683412,0.06231438428459679,0.535346944203857,1
2020,1.531586295333712,5.023240571017125,4.960926186732528,0
2021,-1.3978154501264006,-2.9294017454601127,-7.952642316477237,0
2022,-3.189342997076322,-1.7915275469499212,1.1378741985101914,1
2023,-3.141691673277144,0.0476513237991778,1.839178870749099,1
2024,1.7720092903671238,4.913700963644268,4.86604963984509,0
