date,redistribution,extraction,velocity,velocity_smooth,year,month
2021-02-21,14.666666666666666,6.333333333333333,12.82051282051282,12.82051282051282,2021,2
2021-02-28,29.666666666666668,5.666666666666667,112.79904306220097,62.80977794135689,2021,2
2021-03-07,20.666666666666668,5.666666666666667,-30.33707865168539,31.760825743676133,2021,3
2021-03-14,20.666666666666668,5.333333333333333,5.882352941176483,29.44810578389735,2021,3
2021-03-21,18.333333333333332,5.0,-5.040322580645174,-9.831682763718026,2021,3
2021-03-28,17.0,5.0,-7.2727272727272645,-2.143565637398652,2021,3
2021-04-04,15.333333333333334,5.333333333333333,-16.470588235294116,-9.594546029555518,2021,4
2021-04-11,15.333333333333334,5.333333333333333,0.0,-7.914438502673794,2021,4
2021-04-18,19.666666666666668,5.333333333333333,28.260869565217384,3.930093776641089,2021,4
2021-04-25,19.0,5.666666666666667,-9.639830508474601,6.20701301891426,2021,4
2021-05-02,17.666666666666668,6.0,-12.899896800825584,1.9070474186390662,2021,5
2021-05-09,14.333333333333334,6.0,-18.867924528301895,-13.802550612534025,2021,5
2021-05-16,11.666666666666666,5.333333333333333,-7.493540051679593,-13.087120460269022,2021,5
2021-05-23,9.666666666666666,4.666666666666667,-4.64285714285716,-10.334773907612883,2021,5
2021-05-30,8.0,4.666666666666667,-17.24137931034482,-9.792592168293856,2021,5
2021-06-06,11.333333333333334,3.6666666666666665,63.095238095238116,13.737000547345382,2021,6
2021-06-13,9.0,4.0,-29.679144385026756,5.391571466622183,2021,6
2021-06-20,8.666666666666666,4.0,-3.703703703703709,9.90413000216922,2021,6
2021-06-27,7.666666666666667,4.0,-11.538461538461531,-14.973769875730662,2021,6
2021-07-04,7.666666666666667,4.0,0.0,-5.08072174738841,2021,7
2021-07-11,10.666666666666666,3.6666666666666665,47.463768115942024,11.975102192493502,2021,7
2021-07-18,11.333333333333334,3.6666666666666665,6.250000000000022,17.904589371980688,2021,7
2021-07-25,9.0,3.6666666666666665,-20.588235294117652,11.04184427394147,2021,7
2021-08-01,7.333333333333333,3.6666666666666665,-18.518518518518523,-10.952251270878714,2021,8
2021-08-08,6.333333333333333,3.3333333333333335,-4.545454545454552,-14.55073611936357,2021,8
2021-08-15,7.666666666666667,3.6666666666666665,11.052631578947405,-4.003780495008551,2021,8
2021-08-22,7.333333333333333,4.333333333333333,-22.529644268774717,-5.340822411760617,2021,8
2021-08-29,9.666666666666666,4.666666666666667,24.125874125874105,4.216287145348935,2021,8
2021-09-05,10.333333333333334,4.666666666666667,6.896551724137945,2.8309271937457816,2021,9
2021-09-12,11.666666666666666,5.666666666666667,-8.525345622119819,7.499026742630748,2021,9
2021-09-19,13.0,5.333333333333333,17.310924369747916,5.227376823922018,2021,9
2021-09-26,13.333333333333334,5.333333333333333,2.564102564102577,3.7832271039102294,2021,9
2021-10-03,13.0,5.333333333333333,-2.500000000000002,5.791675644616834,2021,10
2021-10-10,13.0,5.333333333333333,0.0,0.021367521367529136,2021,10
2021-10-17,14.666666666666666,5.333333333333333,12.82051282051282,3.4401709401709435,2021,10
2021-10-24,28.0,5.0,97.15909090909092,36.65986790986792,2021,10
2021-10-31,16.666666666666668,5.0,-40.476190476190474,23.167804417804422,2021,10
2021-11-07,13.666666666666666,5.666666666666667,-31.333333333333336,8.449855699855709,2021,11
2021-11-14,14.0,5.333333333333333,8.321377331420388,-21.162715492701135,2021,11
2021-11-21,9.333333333333334,4.666666666666667,-20.83333333333334,-14.61509644508209,2021,11
2021-11-28,14.0,4.666666666666667,50.0,12.496014666029021,2021,11
2021-12-05,16.666666666666668,5.333333333333333,4.761904761904768,11.309523809523816,2021,12
2021-12-12,13.0,5.0,-15.750000000000007,13.003968253968258,2021,12
2021-12-19,6.666666666666667,3.3333333333333335,-15.38461538461538,-8.790903540903535,2021,12
2021-12-26,5.666666666666667,3.3333333333333335,-15.000000000000002,-15.378205128205124,2021,12
2022-01-02,8.666666666666666,4.666666666666667,12.94117647058821,-5.814479638009051,2022,1
2022-01-09,11.0,5.333333333333333,12.637362637362658,3.526179702650294,2022,1
2022-01-16,13.0,6.0,5.681818181818187,10.420119096589689,2022,1
2022-01-23,14.0,7.0,-8.974358974358989,3.114940614940623,2022,1
2022-01-30,13.666666666666666,6.333333333333333,7.142857142857141,1.2834387834387844,2022,1
2022-02-06,15.666666666666666,7.666666666666667,-6.418485237483985,-2.7499956896619397,2022,2
2022-02-13,15.333333333333334,7.0,6.567992599444971,2.4307881682727137,2022,2
2022-02-20,23.333333333333332,6.333333333333333,61.69772256728778,20.615743309749593,2022,2
2022-02-27,20.333333333333332,6.666666666666667,-18.120300751879714,16.71513813828435,2022,2
2022-03-06,16.333333333333332,6.333333333333333,-14.67213114754098,9.635096889289033,2022,3
2022-03-13,15.666666666666666,6.333333333333333,-4.081632653061218,-12.291354850827299,2022,3
2022-03-20,17.0,6.666666666666667,3.2474804031354942,-5.168761132488898,2022,3
2022-03-27,25.333333333333332,7.0,44.01960784313725,14.395151864403845,2022,3
2022-04-03,25.333333333333332,7.333333333333333,-4.761904761904767,14.16839449478933,2022,4
2022-04-10,21.0,7.333333333333333,-17.105263157894733,7.3841466411125865,2022,4
2022-04-17,23.0,7.666666666666667,4.978354978354971,-5.62960431381484,2022,4
2022-04-24,23.0,8.0,-4.347826086956519,-5.4915780888320915,2022,4
2022-05-01,22.0,8.0,-4.347826086956519,-1.2390990651860199,2022,5
2022-05-08,20.333333333333332,7.666666666666667,-3.409090909090917,-4.034914361001316,2022,5
