year,trust_pct
1958,73
1964,77
1966,65
1968,62
1970,54
1972,53
1974,36
1976,34
1978,29
1979,30
1980,27
1982,33
1984,41
1985,42
1986,44
1987,43
1988,41
1989,41
1990,35
1991,46
1992,25
1993,25
1994,20
1995,21
1996,29
1997,27
1998,31
1999,34
2000,34
2001,49
2002,46
2003,36
2004,39
2005,31
2006,32
2007,28
2008,25
2009,21
2010,22
2011,18
2012,19
2013,22
2014,19
2015,18
2016,27
2017,19
2018,18
2019,17
2020,24
2021,21
2022,20
2023,19
2024,18
2025,17
