year,courts_not_harsh_enough_pct,police_violence_ok_pct,death_penalty_favor_pct,marijuana_legal_pct,trust_people_pct,afraid_night_pct,premarital_ok_pct,homosexuality_ok_pct,abortion_any_reason_pct,church_weekly_pct,income_diff_ok_mean,working_lower_class_pct
1972,74.23398328690807,,,,46.211646837820915,,27.260897852960312,,,6.3125,,91.2718204488778
1973,80.53097345132744,74.26820966643976,,18.69476546566961,46.03068712474983,41.06182795698925,,10.980662983425415,,7.491638795986622,,93.58288770053476
1974,83.57348703170028,,66.45299145299145,,,45.04076086956522,30.72078376487054,12.960339943342776,,7.900067521944632,,92.54237288135593
1975,85.13415518491661,75.89599437807449,64.42516268980478,21.287128712871286,39.512855209742895,,32.79607568325158,,,6.859448554135844,,92.37516869095816
1976,86.12099644128114,79.13769123783032,68.72370266479663,28.74913614374568,44.414715719063544,44.03485254691689,,15.918653576437588,,8.914209115281501,,94.09792085848424
1977,87.87248787248787,,71.82009838369642,,,45.13157894736842,36.529372045914926,14.865794907088782,37.72819472616633,8.086785009861932,,91.63372859025033
1978,89.57182320441989,79.11864406779661,70.40887040887041,30.5327868852459,39.00523560209424,,38.68808567603748,,33.288409703504044,8.055009823182711,3.6586345381526106,92.20694171578258
1980,88.388969521045,75.14164305949008,71.57434402332362,25.633802816901408,45.516769336071185,43.20054945054945,,14.602720114531138,41.10953058321479,7.460643394934976,3.877020379479972,91.44421629021218
1982,86.2656072644722,,72.71157167530224,,,48.810810810810814,42.53065774804905,13.438735177865613,38.52272727272727,8.554412560909583,,90.99783080260303
1983,89.43569553805774,79.81770833333333,76.75640183847669,20.95730918499353,37.0,,38.50096092248559,,34.257425742574256,8.526645768025078,3.7342747111681645,90.4881101376721
1984,85.32569792412312,71.02869139258223,74.78197674418605,23.613086770981507,47.912388774811774,42.108890420399725,,14.305949008498583,38.59154929577465,9.315068493150685,3.609874826147427,92.27086183310533
1985,87.10990502035278,,79.53135768435561,,,40.64558629776021,43.38731443994602,13.679245283018869,36.93450371370695,7.777777777777778,,92.0863309352518
1986,88.54314002828855,73.93767705382436,75.25179856115108,18.302018093249828,37.58526603001364,,40.280701754385966,,,9.004092769440655,3.560082872928177,90.1853122855182
1987,82.81706604324957,72.6099706744868,69.19881305637982,17.035775127768314,38.55088495575221,39.966740576496676,,11.885714285714286,39.2485549132948,8.084163898117387,3.572228443449048,90.03917179630666
