date,autonomy,constraint,velocity,velocity_smooth,year,month
2021-02-21,26.0,12.0,25.391849529780576,25.391849529780576,2021,2
2021-02-28,24.666666666666668,12.0,-5.128205128205121,10.131822200787727,2021,2
2021-03-07,21.333333333333332,11.0,-5.180180180180182,5.027821407131758,2021,3
2021-03-14,21.0,10.666666666666666,1.4678030303030387,-2.9468607593607548,2021,3
2021-03-21,20.333333333333332,11.0,-6.2996031746031855,-3.337326774826776,2021,3
2021-03-28,20.666666666666668,10.666666666666666,4.669647292598123,-0.05405095056734114,2021,3
2021-04-04,20.666666666666668,10.666666666666666,0.0,-0.5433186273350207,2021,4
2021-04-11,22.0,12.666666666666666,-12.2983870967742,-2.542913268058692,2021,4
2021-04-18,21.333333333333332,11.666666666666666,4.864433811802227,-2.4779844283239907,2021,4
2021-04-25,19.666666666666668,11.333333333333334,-4.955357142857142,-4.129770142609704,2021,4
2021-05-02,21.666666666666668,11.333333333333334,10.169491525423723,3.35952273145627,2021,5
2021-05-09,33.0,10.333333333333334,61.13122171945701,22.11511870067453,2021,5
2021-05-16,31.0,11.0,-12.512218963831856,19.596164760349627,2021,5
2021-05-23,25.333333333333332,8.0,8.993157380254146,19.204053378626437,2021,5
2021-05-30,26.666666666666668,7.333333333333333,13.596491228070196,3.3591432148308287,2021,5
2021-06-06,25.0,7.333333333333333,-6.25,5.446549536108114,2021,6
2021-06-13,23.0,7.333333333333333,-7.9999999999999964,-0.2178362573099335,2021,6
2021-06-20,24.0,7.333333333333333,4.347826086956519,-3.3007246376811588,2021,6
2021-06-27,22.666666666666668,6.333333333333333,8.080808080808088,1.47621138925487,2021,6
2021-07-04,19.666666666666668,7.666666666666667,-34.28792569659445,-7.286430509609947,2021,7
2021-07-11,19.0,8.0,-7.737656595431098,-11.314924737072488,2021,7
2021-07-18,18.666666666666668,6.666666666666667,14.912280701754389,-9.037767196757052,2021,7
2021-07-25,19.0,6.0,11.785714285714288,6.3201127973458595,2021,7
2021-08-01,17.666666666666668,6.0,-7.017543859649111,6.5601503759398545,2021,8
2021-08-08,19.0,5.333333333333333,18.65828092243187,7.808817116165682,2021,8
2021-08-15,20.666666666666668,6.0,-3.7280701754385923,2.637555629114722,2021,8
2021-08-22,24.0,6.333333333333333,10.573476702508945,8.501229149834074,2021,8
2021-08-29,21.0,8.333333333333334,-44.07894736842106,-12.411180280450237,2021,8
2021-09-05,21.666666666666668,11.0,-28.8253968253968,-20.776955830436304,2021,9
2021-09-12,24.333333333333332,11.666666666666666,6.24708624708623,-22.21908598224388,2021,9
2021-09-19,24.666666666666668,13.333333333333334,-12.915851272015667,-11.831387283442078,2021,9
2021-09-26,22.666666666666668,21.333333333333332,-68.10810810810808,-24.925624377679174,2021,9
2021-10-03,22.666666666666668,17.666666666666668,17.18749999999999,-21.278819793374584,2021,10
2021-10-10,21.666666666666668,40.666666666666664,-134.60044395116537,-61.84035068642449,2021,10
2021-10-17,27.0,38.333333333333336,30.35308953341739,-29.019951472582665,2021,10
2021-10-24,23.0,21.333333333333332,29.533011272141717,-24.904781048535423,2021,10
2021-10-31,22.333333333333332,26.666666666666668,-27.898550724637705,10.662516693640468,2021,10
2021-11-07,21.666666666666668,26.333333333333332,-1.7350746268656514,-0.0335380264538796,2021,11
2021-11-14,21.333333333333332,21.0,18.71470301850048,-3.639640777667625,2021,11
2021-11-21,17.0,18.0,-6.02678571428571,3.650947559116373,2021,11
2021-11-28,20.0,14.0,39.869281045751634,17.51906611665547,2021,11
2021-12-05,20.666666666666668,13.666666666666666,5.714285714285728,13.185593681917219,2021,12
2021-12-12,20.666666666666668,12.0,12.195121951219512,19.259562903752293,2021,12
2021-12-19,15.333333333333334,6.666666666666667,18.63799283154122,12.18246683234882,2021,12
2021-12-26,16.666666666666668,6.0,18.695652173913047,16.509588985557926,2021,12
2022-01-02,22.333333333333332,8.0,0.6666666666666572,12.66677055737364,2022,1
2022-01-09,22.333333333333332,10.0,-25.0,-1.8792270531400987,2022,1
2022-01-16,23.333333333333332,10.333333333333334,1.1442786069651545,-7.7296849087893955,2022,1
2022-01-23,28.666666666666668,12.0,6.728110599078363,-5.709203597985494,2022,1
2022-01-30,24.666666666666668,11.666666666666666,-11.175710594315248,-1.1011071294239099,2022,1
2022-02-06,26.333333333333332,13.333333333333334,-7.528957528957548,-3.9921858413981446,2022,2
2022-02-13,26.666666666666668,14.666666666666666,-8.734177215189852,-9.14628177948755,2022,2
2022-02-20,26.666666666666668,14.0,4.545454545454541,-3.9058933995642864,2022,2
2022-02-27,25.666666666666668,13.666666666666666,-1.3690476190476142,-1.8525900962609751,2022,2
2022-03-06,24.0,15.666666666666666,-21.1276528349699,-5.983748636187658,2022,3
2022-03-13,21.666666666666668,21.333333333333332,-45.892434988179666,-22.796378480732397,2022,3
2022-03-20,23.666666666666668,15.0,38.91826923076922,-9.367272864126784,2022,3
2022-03-27,33.0,18.333333333333332,17.21439749608764,3.413410579559064,2022,3
2022-04-03,32.333333333333336,18.333333333333332,-2.020202020202011,18.037488235551614,2022,4
2022-04-10,27.0,15.333333333333334,-0.1312089971883914,5.02099549289908,2022,4
2022-04-17,32.0,18.0,1.1272141706924366,-0.34139894889932076,2022,4
2022-04-24,30.666666666666668,17.0,1.3888888888888955,0.7949646874643147,2022,4
2022-05-01,30.333333333333332,17.333333333333332,-3.0477408354646185,-0.1772125919610943,2022,5
2022-05-08,30.0,15.333333333333334,10.439560439560436,2.9269028309949054,2022,5
2022-05-15,31.666666666666668,12.0,27.294685990338174,11.562168531478,2022,5
