iso,top10_share,polarization,palma_ratio,n_individuals
FIN,22.194979028975883,100,1.6666661111112961,844737
UKR,23.368509907344894,100,1.6666661111112961,7118658
BLZ,29.633422380528344,100,1.9999993333335555,101070
TTO,22.93568559307944,100,1.6666661111112961,372918
MUS,22.938026671779767,100,1.6666661111112961,709289
UZB,28.783692812643963,100,1.9999993333335555,6531623
ETH,27.224072824161848,100,1.6666661111112961,4807745
MDV,27.834205648239017,100,1.6666661111112961,183420
YEM,29.96697616380891,100,1.9999993333335555,4194546
AFG,25.318462181411853,100,2.499998750000625,4048644
RUS,24.881048822639876,100,2.499998750000625,15109056
THA,22.375524577103796,100,1.6666661111112961,23303295
GUY,29.360365505425474,100,1.9999993333335555,47277
BIH,22.25515969657382,100,1.6666661111112961,930045
JAM,29.46672645710872,100,1.9999993333335555,617713
SLV,29.649960846378352,100,1.9999993333335555,2423786
CUB,22.58818217429259,100,1.6666661111112961,2792798
LBY,28.260940319822875,100,1.9999993333335555,1370321
NIC,29.282779589386728,100,1.9999993333335555,3112028
ECU,22.839630147654574,100,1.6666661111112961,5217109
