date,reform,punitive,reform_velocity,punitive_velocity,cultural_velocity,cultural_velocity_smooth,year,month
2021-02-21,27.0,13.333333333333334,50.0,-4.761904761904756,54.76190476190476,54.76190476190476,2021,2
2021-02-28,32.333333333333336,14.333333333333334,19.753086419753085,7.499999999999996,12.253086419753089,33.507495590828924,2021,2
2021-03-07,21.333333333333332,13.333333333333334,-34.020618556701045,-6.976744186046513,-27.04387437065453,13.32370560366777,2021,3
2021-03-14,16.666666666666668,12.666666666666666,-21.87499999999999,-5.000000000000004,-16.874999999999986,-10.555262650300476,2021,3
2021-03-21,18.333333333333332,13.666666666666666,9.999999999999986,7.8947368421052655,2.1052631578947203,-13.937870404253268,2021,3
2021-03-28,23.0,34.0,25.454545454545464,148.78048780487805,-123.32594235033258,-46.03189306414595,2021,3
2021-04-04,15.0,22.0,-34.78260869565217,-35.29411764705882,0.5115089514066469,-40.23639008034374,2021,4
2021-04-11,41.666666666666664,17.666666666666668,177.77777777777777,-19.696969696969692,197.47474747474746,24.886771358607174,2021,4
2021-04-18,69.0,17.333333333333332,65.60000000000001,-1.8867924528301994,67.4867924528302,88.49101629299476,2021,4
2021-04-25,43.333333333333336,16.0,-37.19806763285024,-7.692307692307687,-29.505759940542553,78.48525999567836,2021,4
2021-05-02,24.0,14.333333333333334,-44.61538461538462,-10.416666666666663,-34.198717948717956,1.2607715211898973,2021,5
2021-05-09,20.0,17.0,-16.666666666666664,18.604651162790688,-35.27131782945735,-32.99193190623929,2021,5
2021-05-16,19.333333333333332,16.666666666666668,-3.3333333333333437,-1.9607843137254832,-1.3725490196078605,-23.61419493259439,2021,5
2021-05-23,27.333333333333332,14.666666666666666,41.37931034482758,-12.00000000000001,53.37931034482759,5.578481165254125,2021,5
2021-05-30,20.0,16.333333333333332,-26.82926829268293,11.363636363636353,-38.192904656319286,4.604618889633481,2021,5
2021-06-06,14.666666666666666,13.666666666666666,-26.66666666666667,-16.326530612244895,-10.340136054421777,1.615423211362175,2021,6
2021-06-13,16.333333333333332,12.333333333333334,11.363636363636353,-9.756097560975597,21.11973392461195,-9.137768928709704,2021,6
2021-06-20,21.0,10.666666666666666,28.57142857142858,-13.51351351351352,42.0849420849421,17.621513318377424,2021,6
2021-06-27,29.0,11.0,38.095238095238095,3.125,34.970238095238095,32.72497136826405,2021,6
2021-07-04,18.333333333333332,9.0,-36.7816091954023,-18.181818181818176,-18.59979101358412,19.485129722198693,2021,7
2021-07-11,18.0,11.0,-1.8181818181818077,22.222222222222232,-24.04040404040404,-2.5566523195833555,2021,7
2021-07-18,16.333333333333332,11.666666666666666,-9.259259259259267,6.060606060606055,-15.319865319865322,-19.32002012461783,2021,7
2021-07-25,21.333333333333332,7.0,30.612244897959194,-40.0,70.61224489795919,10.417325179229943,2021,7
2021-08-01,16.666666666666668,7.666666666666667,-21.87499999999999,9.523809523809534,-31.398809523809526,7.964523351428116,2021,8
2021-08-08,25.333333333333332,8.333333333333334,51.99999999999998,8.695652173913038,43.30434782608694,27.505927733412204,2021,8
2021-08-15,11.333333333333334,9.333333333333334,-55.263157894736835,11.99999999999999,-67.26315789473682,-18.452539864153135,2021,8
2021-08-22,14.333333333333334,10.0,26.470588235294112,7.14285714285714,19.327731092436974,-1.543692992070967,2021,8
2021-08-29,10.333333333333334,8.666666666666666,-27.90697674418604,-13.333333333333341,-14.573643410852698,-20.836356737717512,2021,8
2021-09-05,11.333333333333334,10.666666666666666,9.677419354838701,23.076923076923084,-13.399503722084383,-2.8818053468333678,2021,9
